area_id,latitude,longitude,lst_celsius,ndvi,built_up_pct,green_cover_pct,population_density,vulnerable_pct,water_access_pct,cooling_access_pct
A001,13.0827,80.2707,43.2,0.12,84,7,9500,38,55,35
A002,13.0878,80.2785,39.5,0.31,65,18,7200,25,70,55
A003,13.0750,80.2650,44.1,0.08,91,4,11000,45,40,25
A004,13.0950,80.2900,37.8,0.48,52,30,5800,18,82,72
A005,13.0680,80.2500,41.7,0.18,76,11,8700,34,60,42
A006,13.0900,80.2750,40.8,0.22,72,14,8100,30,65,48
A007,13.0700,80.2600,42.5,0.15,80,9,9000,36,58,38
A008,13.1000,80.3000,36.9,0.52,48,34,5200,15,88,78
A009,13.0600,80.2450,43.7,0.10,88,5,10500,42,45,30
A010,13.0850,80.2850,39.9,0.35,62,22,6800,22,75,60
